Lineto,Blank,Linevia,Operatorna,Routepathd
Wyndham Vale Station, ,Werribee Plaza SC,CDC Melbourne (Werribee),166_out
Tarneit Station, ,Werribee Plaza SC,CDC Melbourne (Werribee),167_in
Tarneit Station, ,Werribee Plaza SC,CDC Melbourne (Werribee),167_in1
Hoppers Crossing Station, ,Werribee Plaza SC,CDC Melbourne (Werribee),167_out
Hoppers Crossing Station, ,Werribee Plaza SC,CDC Melbourne (Werribee),167_out_1
Tarneit Station, ,Werribee Plaza SC,CDC Melbourne (Werribee),170_in
Manor Lakes, ,Greaves St North,CDC Melbourne (Werribee),191_out
Werribee Station, ,Black Forest Rd,CDC Melbourne (Werribee),192_in
Wyndham Vale Station, ,Black Forest Rd,CDC Melbourne (Werribee),192_out
Bulleen, ,Kew Junction,Transdev,200out
City (Queen St), ,Kew Junction,Transdev,200in
Deakin University, ,,Ventura Bus Lines,201in
Box Hill Station, ,,Ventura Bus Lines,201out
Doncaster SC, ,Kew Junction,Transdev,207out
Werribee Station, ,Werribee Plaza SC,CDC Melbourne (Werribee),170_out
Tarneit Station, ,Tarneit Rd,CDC Melbourne (Werribee),180_in
Werribee Station, ,Tarneit Rd,CDC Melbourne (Werribee),180_out
Hoppers Crossing Station, ,Werribee Plaza SC,CDC Melbourne (Altona),181_in
Werribee Station, ,Werribee Plaza SC,CDC Melbourne (Altona),181_out
Werribee Station, ,Ballan Rd,CDC Melbourne (Werribee),190_in
Wyndham Vale Station, ,Ballan Rd,CDC Melbourne (Werribee),190_out
Werribee Station, ,Greaves St North,CDC Melbourne (Werribee),191_in
Caroline Springs, ,Ballarat Rd,Transdev,215out_s1
Caroline Springs, ,Ballarat Rd,Transdev,215out_s2
Brighton Beach, ,City,Transdev,216in
Caroline Springs, ,City,Transdev,216out
Gardenvale, ,City,Transdev,219in
Sunshine South, ,City,Transdev,219out
Gardenvale, ,City,Transdev,220in
Sunshine, ,City,Transdev,220out
Highpoint SC, ,Buckley St > Footscray,Transdev,223in
Yarraville, ,Footscray > Buckley St,Transdev,223out
City (Queen Victoria Market), ,Westgate Fwy,Transdev,232in
City (Queen Victoria Market), ,Westgate Fwy,Transdev,232in_1
Altona North, ,Westgate Fwy,Transdev,232out
Altona North, ,Westgate Fwy,Transdev,232out_1
Williams Landing Station, ,Sayers Rd,CDC Melbourne (Werribee),150_in
Tarneit Station, ,Sayers Rd,CDC Melbourne (Werribee),150_out
Williams Landing Station, ,Westmeadows Lane,CDC Melbourne (Werribee),151_in
Tarneit Station, ,Westmeadows Lane,CDC Melbourne (Werribee),151_out
Williams Landing Station, ,Princes Hwy,CDC Melbourne (Werribee),153_in
Werribee Station, ,Princes Hwy,CDC Melbourne (Werribee),153_out
Tarneit Station, ,Morris Rd,CDC Melbourne (Werribee),160_in
Tarneit Station, ,Morris Rd,CDC Melbourne (Werribee),160_in_1
Hoppers Crossing Station, ,Morris Rd,CDC Melbourne (Werribee),160_out
Hoppers Crossing Station, ,Morris Rd,CDC Melbourne (Werribee),160_out1
Hoppers Crossing Station, ,Werribee Plaza SC,CDC Melbourne (Werribee),161_in
Werribee Station, ,Werribee Plaza SC,CDC Melbourne (Werribee),161_out
Hoppers Crossing Station, ,Werribee Plaza SC,CDC Melbourne (Werribee),166_in
Box Hill, ,Park Orchards,Transdev,271in
Ringwood, ,Park Orchards,Transdev,271out
Nunawading, ,Springvale Rd,Transdev,273in
Nunawading, ,Springvale Rd,Transdev,273in_1
Nunawading, ,Springvale Rd,Transdev,273in_s
The Pines SC, ,Springvale Rd,Transdev,273out
The Pines SC, ,Springvale Rd,Transdev,273out_1
The Pines SC, ,Springvale Rd,Transdev,273out_s
Highpoint SC, ,Ballarat Rd,Transdev,215in
Highpoint SC, ,Ballarat Rd,Transdev,215in_s1
Highpoint SC, ,Ballarat Rd,Transdev,215in_s2
Caroline Springs, ,Ballarat Rd,Transdev,215out
Box Hill, ,,Transdev,279in_3
Doncaster SC/Templestowe, ,,Transdev,279out_1
Doncaster SC/Templestowe, ,,Transdev,279out_2
Doncaster SC/Templestowe, ,,Transdev,279out_3
City (Queen Victoria Market), ,,Transdev,234in
Garden City, ,,Transdev,234out
City, ,Williamstown Rd,Transdev,235in
Fishermans Bend, ,Williamstown Rd,Transdev,235out
Queen Victoria Market, ,South Melbourne,Transdev,236in
Garden City, ,South Melbourne,Transdev,236out
City, ,Lorimer St,Transdev,237in
Fishermans Bend, ,Lorimer St,Transdev,237out
Elsternwick, ,St Kilda,Transdev,246in
Clifton Hill, ,St Kilda,Transdev,246out
City (Queen St), ,Clifton Hill,Transdev,250in
La Trobe University, ,Clifton Hill,Transdev,250out
City (Queen St), ,Clifton Hill,Transdev,251in
Northland SC, ,Clifton Hill,Transdev,251out
Box Hill, ,Blackburn North,Transdev,270in
Mitcham, ,Blackburn North,Transdev,270out
Mernda North, ,South Morang,Dysons,386out
Bundoora RMIT (via Hawkstowe Pde), ,,Dysons,387in
Mernda North  (via Hawkstowe Pde), ,,Dysons,387out
Sunshine Station, ,Robinsons Rd,Sita Bus Lines,400in
Laverton Station, ,Robinsons Rd,Sita Bus Lines,400out
University of Melbourne, ,Royal Melbourne Hospital,Sita Bus Lines,401in
Doncaster SC/Templestowe, ,,Transdev,279out_4
The Pines SC, ,Tunstall Sq,Transdev,280c
Box Hill, ,,Transdev,279in_1
Box Hill, ,,Transdev,279in_2
Diamond Creek Station, ,Doreen,Dysons,381out
Diamond Creek Station, ,Doreen,Dysons,381out_1
Diamond Creek Station, ,Doreen,Dysons,381out_2
Diamond Creek Station, ,Doreen,Dysons,381out_3
Diamond Creek Station, ,Doreen,Dysons,381out_4
Northland SC, ,South Morang Station,Dysons,382in
Northland SC, ,South Morang Station,Dysons,382in_1
Northland SC, ,South Morang Station,Dysons,382in_2
Northland SC, ,South Morang Station,Dysons,382in_3
Whittlesea, ,South Morang Station,Dysons,382out
Whittlesea, ,South Morang Station,Dysons,382out_1
Whittlesea, ,South Morang Station,Dysons,382out_2
Whittlesea, ,South Morang Station,Dysons,382out_3
Whittlesea, ,South Morang Station,Dysons,382out_4
University Hill, ,South Morang,Dysons,383in
University Hill, ,South Morang,Dysons,383in_1
University Hill, ,South Morang,Dysons,383in_2
Palisades, ,South Morang,Dysons,383out
Palisades, ,South Morang,Dysons,383out_1
