Theme,icon,subtheme,Name,Longitude,Latitude
Railway Station,landmark,Railway Station,Flemington Bridge Railway Station,144.9392778,-37.78816459
Library,library,Library,The Melbourne Athenaeum Library,144.9672913,-37.81488558
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Carlton Gardens South,144.9712665,-37.80606846
Place of Worship,religious-christian,Church,Wesley Church,144.9681682,-37.81015764
Place of Worship,religious-christian,Church,St Augustines Church,144.954862,-37.81697414
Place of Worship,religious-christian,Church,St James Church,144.9524686,-37.81012812
Place of Worship,religious-christian,Church,St Mary's Anglican Church,144.9537615,-37.80316637
Place of Worship,religious-christian,Church,Romanian Orthodox,144.9669864,-37.80523073
Place of Worship,religious-christian,Church,Welsh Presbyterian Church,144.9598733,-37.81044788
Place of Worship,religious-christian,Church,Church of Christ,144.9638892,-37.81045241
Place of Worship,religious-christian,Church,Scots Church,144.9685511,-37.81456878
Place of Worship,religious-christian,Church,St Michael's Uniting Church,144.969174,-37.81438513
Place of Worship,religious-christian,Church,Greek Orthodox Church,144.9782591,-37.80880647
Place of Worship,religious-christian,Church,St Peter's Eastern Hill,144.9752592,-37.80970867
Place of Worship,religious-christian,Church,Lutheran Trinity Church,144.9757295,-37.81097571
Place of Worship,religious-christian,Church,Holy Trinity,144.9831973,-37.81406671
Place of Worship,religious-christian,Church,St Johns Lutheran Church,144.9671211,-37.82093997
Place of Worship,religious-christian,Church,North Melbourne Uniting,144.9476715,-37.80355385
Place of Worship,religious-christian,Church,Melbourne Unitarian Church,144.9846649,-37.81144878
Place of Worship,religious-christian,Church,All Nations Uniting Church,144.9689811,-37.79591553
Place of Worship,religious-christian,Church,Our Lady of Lebanon Church,144.9693347,-37.80257665
Place of Worship,religious-christian,Church,St Michaels,144.9453995,-37.79405127
Place of Worship,religious-christian,Church,Ukranian Catholic Cathedral,144.9443135,-37.79630846
Place of Worship,religious-christian,Church,St Alban Anglican Church,144.9416145,-37.79421695
