STATIONNAM,longitude,latitude,ZONES,STOPMODENA
Riddells Creek,144.679834,-37.46511382,"2,3,Reg",V/Line Train
Rochester,144.6986891,-36.36234981,Reg,V/Line Train
Rosedale,146.7869706,-38.15638997,"14,Reg",V/Line Train
Sale,147.0548075,-38.10309199,Reg,V/Line Train
Seymour,145.137739,-37.02471184,"6,7,Reg",V/Line Train
Shepparton,145.406506,-36.38378186,Reg,V/Line Train
South Geelong,144.358993,-38.1586468,"4,Reg",V/Line Train
Springhurst,146.4704269,-36.18588093,Reg,V/Line Train
Stratford,147.0814736,-37.96703399,Reg,V/Line Train
Swan Hill,143.5623534,-35.34109973,Reg,V/Line Train
Tallarook,145.103008,-37.09231884,"5,6,Reg",V/Line Train
Terang,142.9114733,-38.23620171,Reg,V/Line Train
Trafalgar,146.1547757,-38.20722592,"8,9,Reg",V/Line Train
Traralgon,146.5378896,-38.19887595,"12,13,Reg",V/Line Train
Tynong,145.6282368,-38.08498088,"3,4,Reg",V/Line Train
Violet Town,145.7159319,-36.63880388,"13,14,Reg",V/Line Train
Wandong,145.02642,-37.35466284,2,V/Line Train
Wangaratta,146.3170469,-36.35508892,Reg,V/Line Train
Warragul,145.9330957,-38.16521391,"6,7,Reg",V/Line Train
Warrnambool,142.4755533,-38.38500168,Reg,V/Line Train
Winchelsea,143.9841431,-38.24011977,"8,Reg",V/Line Train
Wodonga,146.8712728,-36.10581596,Reg,V/Line Train
Woodend,144.5258991,-37.3587898,"4,5,Reg",V/Line Train
Yarragon,146.0630707,-38.20314192,"8,Reg",V/Line Train
Wagga Wagga,147.3686158,-35.120547,Reg,V/Line Train
Cootamundra,148.0302858,-34.64192704,Reg,V/Line Train
Goulburn,149.7194455,-34.75859719,Reg,V/Line Train
Central,151.2063954,-33.88637732,Reg,V/Line Train
Strathfield,151.0930654,-33.87304731,Reg,V/Line Train
Campbelltown,150.8130655,-34.06554728,Reg,V/Line Train
Moss Vale,150.3716755,-34.54804724,Reg,V/Line Train
Yass Junction,148.9152396,-34.80894112,Reg,V/Line Train
Harden,148.3715618,-34.55357607,Reg,V/Line Train
The Rock,147.1186979,-35.27170698,Reg,V/Line Train
Junee,147.5836158,-34.87054701,Reg,V/Line Train
Henty,147.0353189,-35.51762297,Reg,V/Line Train
Culcairn,147.0381358,-35.66608897,Reg,V/Line Train
Southern Cross,144.9514149,-37.81791984,1,Train
Flinders Street,144.9669739,-37.81829584,"1,Reg",V/Line Train
North Melbourne,144.9415159,-37.80629584,"1,Reg",V/Line Train
Footscray,144.9020289,-37.80139683,"1,Reg",V/Line Train
Sunshine,144.832887,-37.78852383,"1,2,Reg",V/Line Train
Ginifer,144.810074,-37.75798183,"2,Reg",V/Line Train
St Albans,144.800056,-37.74484683,"2,Reg",V/Line Train
Watergardens,144.774192,-37.70111482,"2,Reg",V/Line Train
Richmond,144.9901659,-37.82405684,"1,Reg",V/Line Train
Caulfield,145.0425259,-37.87744684,"1,Reg",V/Line Train
Clayton,145.1205369,-37.92466985,"2,Reg",V/Line Train
Dandenong,145.2097339,-37.98995485,"2,Reg",V/Line Train
Berwick,145.3457258,-38.04039686,"2,Reg",V/Line Train
Pakenham,145.4863758,-38.08059687,"2,Reg",V/Line Train
Essendon,144.916206,-37.75599683,"1,Reg",V/Line Train
Broadmeadows,144.919616,-37.68303683,"2,Reg",V/Line Train
Sherwood Park,142.5405663,-38.38637669,Reg,V/Line Train
Roxburgh Park,144.935413,-37.63821983,2,Train
Craigieburn,144.943331,-37.60179983,2,Train
Wendouree,143.8200682,-37.53969976,"8,Reg",V/Line Train
Coolaroo,144.926059,-37.66098783,2,Train
Creswick,143.8881282,-37.42459176,"9,Reg",V/Line Train
Clunes,143.7815802,-37.30312976,"11,12,Reg",V/Line Train
Maryborough,143.7424052,-37.05089875,"14,Reg",V/Line Train
Gunning,149.2616216,-34.77964115,Reg,V/Line Train
Lynbrook,145.2492859,-38.05733186,2,Train
Cardinia Road,145.4377998,-38.07127487,2,Train
South Morang,145.0670439,-37.64914784,2,Train
Williams Landing,144.747452,-37.86985482,2,Train
Talbot,143.7056412,-37.17288875,Reg,V/Line Train
Waurn Ponds,144.306826,-38.21579679,"4,Reg",V/Line Train
Epsom,144.3210422,-36.70632979,"13,Reg",V/Line Train
Wyndham Vale,144.608483,-37.87176981,"2,Reg",V/Line Train
Tarneit,144.694722,-37.83215582,"2,Reg",V/Line Train
Caroline Springs,144.738029,-37.76713982,"2,Reg",V/Line Train
Flemington Racecourse,144.9075979,-37.78718583,1,Train
Showgrounds,144.9142639,-37.78346183,1,Train
Sunbury,144.727326,-37.57907882,2,Train
Diggers Rest,144.719924,-37.62699982,2,Train
Wallan,145.005383,-37.41684684,2,V/Line Train
Stony Point,145.2218478,-38.37422486,2,Train
Crib Point,145.2040528,-38.36610686,2,Train
Morradoo,145.1896118,-38.35402185,2,Train
Bittern,145.1780318,-38.33737685,2,Train
Hastings,145.1859848,-38.30564685,2,Train
Tyabb,145.1864078,-38.25980385,2,Train
Somerville,145.1762519,-38.22532785,2,Train
Baxter,145.1605309,-38.19403385,2,Train
Glen Iris,145.0582289,-37.85929284,1,Train
Leawarra,145.1395409,-38.15202285,2,Train
Darling,145.0629519,-37.86894284,"1,2",Train
East Malvern,145.0694029,-37.87691684,"1,2",Train
Holmesglen,145.0906629,-37.87438785,"1,2",Train
Jordanville,145.1120949,-37.87358585,2,Train
Flagstaff,144.9556589,-37.81196484,1,Train
Melbourne Central,144.9626049,-37.80992284,1,Train
Parliament,144.9729129,-37.81104184,1,Train
Belgrave,145.3552969,-37.90908586,2,Train
Tecoma,145.3430049,-37.90810286,2,Train
Upwey,145.3313409,-37.90367886,2,Train
Alamein,145.0796649,-37.86830385,1,Train
Ashburton,145.0813469,-37.86195485,1,Train
Burwood,145.0805139,-37.85154784,1,Train
Hartwell,145.0755669,-37.84397084,1,Train
Willison,145.0703039,-37.83569884,1,Train
Riversdale,145.0696539,-37.83148884,1,Train
Camberwell,145.0586979,-37.82655084,1,Train
Flinders Street,144.9669729,-37.81829484,1,Train
Frankston,145.1261719,-38.14297385,2,Train
Kananook,145.1352969,-38.12172685,2,Train
Seaford,145.1282339,-38.10400385,2,Train
Carrum,145.1224199,-38.07488285,2,Train
Bonbeach,145.1196879,-38.06293185,2,Train
Chelsea,145.1160419,-38.05194585,2,Train
Edithvale,145.1085449,-38.03804085,2,Train
Aspendale,145.1021569,-38.02720885,2,Train
Mordialloc,145.0876619,-38.00657385,2,Train
Parkdale,145.0763359,-37.99306385,2,Train
Mentone,145.0651769,-37.98185184,2,Train
Cheltenham,145.0545629,-37.96663984,2,Train
Upper Ferntree Gully,145.3075309,-37.89265986,2,Train
Ferntree Gully,145.2952599,-37.88168386,2,Train
Boronia,145.2843869,-37.86043986,2,Train
Bayswater,145.2681429,-37.84171486,2,Train
Heathmont,145.2445589,-37.82830486,2,Train
Highett,145.0418779,-37.94841284,2,Train
Glen Waverley,145.1620689,-37.87948885,2,Train
Syndal,145.1497819,-37.87621485,2,Train
Mount Waverley,145.1280629,-37.87523785,2,Train
Lilydale,145.3477179,-37.75550286,2,Train
Mooroolbark,145.3124099,-37.78473586,2,Train
Croydon,145.2805999,-37.79542786,2,Train
Ringwood East,145.2501989,-37.81195486,2,Train
Pakenham,145.4863798,-38.08059887,2,Train
Officer,145.4109978,-38.06612887,2,Train
Beaconsfield,145.3660748,-38.05081487,2,Train
Berwick,145.3457268,-38.04039686,2,Train
Narre Warren,145.3039729,-38.02779586,2,Train
Hallam,145.2697789,-38.01772986,2,Train
Cranbourne,145.2806008,-38.09952686,2,Train
Merinda Park,145.2635129,-38.07898986,2,Train
Dandenong,145.2097339,-37.98995485,2,Train
Yarraman,145.1916029,-37.97823985,2,Train
Noble Park,145.1769419,-37.96722285,2,Train
Sandown Park,145.1628289,-37.95648785,2,Train
